# QGIS Generated Color Map Export File
INTERPOLATION:INTERPOLATED
7367,146,0,88,255,346.82
7412,142,0,92,255,347.27
7457,137,0,95,255,347.72
7503,133,0,99,255,348.18
7548,129,0,102,255,348.63
7593,125,0,105,255,349.08
7638,121,0,109,255,349.53
7683,116,0,112,255,349.98
7729,112,0,116,255,350.44
7774,108,0,119,255,350.89
7819,104,0,122,255,351.34
7864,100,0,126,255,351.79
7910,95,0,129,255,352.25
7955,91,0,133,255,352.7
8000,87,0,136,255,353.15
